levekaar,lksnavn,grunnkrets
1103060001,Stavanger LKS 060001,11032001
1103060001,Stavanger LKS 060001,11032004
1103060001,Stavanger LKS 060001,11032008
1103060002,Stavanger LKS 060002,11031806
1103060002,Stavanger LKS 060002,11032005
1103060002,Stavanger LKS 060002,11032010
1103060003,Stavanger LKS 060003,11030707
1103060003,Stavanger LKS 060003,11030708
1103060003,Stavanger LKS 060003,11030710
1103060003,Stavanger LKS 060003,11031807
1103060003,Stavanger LKS 060003,11032012
1103060004,Stavanger LKS 060004,11030613
1103060004,Stavanger LKS 060004,11030615
1103060004,Stavanger LKS 060004,11030701
1103060004,Stavanger LKS 060004,11030702
1103060005,Stavanger LKS 060005,11030706
1103060005,Stavanger LKS 060005,11030709
1103060006,Stavanger LKS 060006,11030704
1103060006,Stavanger LKS 060006,11030705
1103060006,Stavanger LKS 060006,11030712
1103060007,Stavanger LKS 060007,11030711
1103060007,Stavanger LKS 060007,11031904
1103060007,Stavanger LKS 060007,11031907
1103060008,Stavanger LKS 060008,11031902
1103060009,Stavanger LKS 060009,11031809
1103060009,Stavanger LKS 060009,11031810
1103060009,Stavanger LKS 060009,11031813
1103060009,Stavanger LKS 060009,11031903
1103060010,Stavanger LKS 060010,11031815
1103060010,Stavanger LKS 060010,11031905
1103070001,Stavanger LKS 070001,11031803
1103070002,Stavanger LKS 070002,11031811
1103070003,Stavanger LKS 070003,11031729
1103070004,Stavanger LKS 070004,11031722
1103070004,Stavanger LKS 070004,11031723
1103070004,Stavanger LKS 070004,11031730
1103070004,Stavanger LKS 070004,11031731
1103070005,Stavanger LKS 070005,11031724
1103070005,Stavanger LKS 070005,11031725
1103070005,Stavanger LKS 070005,11031726
1103070006,Stavanger LKS 070006,11031715
1103070006,Stavanger LKS 070006,11031716
1103070006,Stavanger LKS 070006,11031718
1103070006,Stavanger LKS 070006,11031719
1103070006,Stavanger LKS 070006,11031736
1103070006,Stavanger LKS 070006,11031737
1103070007,Stavanger LKS 070007,11031712
1103070007,Stavanger LKS 070007,11031713
1103070007,Stavanger LKS 070007,11031714
1103070007,Stavanger LKS 070007,11031717
1103070008,Stavanger LKS 070008,11031739
